Year,Major,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Project1,Project2,Exam1,Exam2,Labs,Attendance,StudentID
first year,English-CW,9.0,10.0,12.0,12.0,10.0,0.0,11.0,10.0,11.0,10.0,10.85,96.85,93.9,87.8,48.0,83.3,1
first year,English-CW,11.0,12.0,10.0,12.0,8.0,11.0,9.0,10.5,11.5,10.0,10.85,98.85,90.6,86.1,48.0,88.9,2
second year,English-CW,10.0,10.0,11.0,12.0,12.0,12.0,11.0,11.5,11.0,9.5,11.25,101.75,94.4,89.39999999999998,48.0,81.1,3
fourth year+,Non-English,9.0,12.0,12.0,10.0,11.0,12.0,11.0,9.0,12.0,12.0,11.38,103.38,90.0,92.2,48.0,87.8,4
second year,Non-English,9.0,10.0,12.0,11.0,11.0,8.0,8.0,8.5,0.0,8.0,10.69,88.19,85.60000000000002,89.39999999999998,48.0,83.9,5
second year,English-Poetry,8.0,12.0,12.0,11.0,0.0,12.0,12.0,10.0,11.5,10.0,11.03,101.53,92.2,83.9,48.0,88.3,6
fourth year+,English-CW,9.0,11.0,11.0,10.0,11.0,10.0,12.0,11.0,11.5,11.5,10.72,99.72,87.2,82.2,48.0,81.1,7
second year,Non-English,8.0,0.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,11.5,10.35,101.85,91.7,89.39999999999998,48.0,87.5,8
third year,English-CW,10.0,0.0,11.0,11.0,11.0,9.0,11.0,10.0,0.0,11.0,10.35,94.35,86.7,93.9,48.0,90.6,9
third year,Non-English,10.0,11.0,12.0,12.0,11.0,12.0,11.0,9.5,11.5,11.5,11.71,103.71,95.6,97.2,48.0,95.6,10
third year,English-CW,9.0,10.0,12.0,11.0,10.0,12.0,11.0,9.5,11.5,11.5,10.33,99.33,91.1,95.0,48.0,82.8,11
third year,English-CW,11.0,0.0,11.0,11.0,10.0,0.0,12.0,11.0,12.0,12.0,11.37,101.37,85.0,83.9,48.0,85.60000000000002,12
second year,English-CW,12.0,12.0,12.0,12.0,11.0,11.0,12.0,11.5,9.5,12.0,11.25,105.75,97.8,94.4,48.0,96.7,13
first year,Non-English,11.0,12.0,12.0,12.0,11.0,11.0,12.0,11.5,12.0,11.0,11.37,104.87,95.6,92.8,48.0,93.3,14
fourth year+,English-Poetry,11.0,9.0,11.0,12.0,10.0,11.0,11.0,10.5,12.0,10.0,11.0,99.5,77.8,80.0,48.0,78.89999999999998,15
first year,English-CW,9.0,12.0,11.0,10.0,11.0,12.0,11.0,10.0,11.5,10.0,10.69,99.19,83.10000000000002,92.2,48.0,86.1,16
second year,English-Poetry,10.0,11.0,11.0,11.0,9.0,8.0,0.0,11.5,0.0,9.5,10.5,91.5,91.7,91.7,48.0,87.8,17
second year,English-CW,8.0,10.0,12.0,12.0,12.0,10.0,0.0,10.5,11.0,0.0,10.04,95.54,83.3,86.7,48.0,85.0,18
